Word,Frequency
mātāpitūnaṃ,11
cūḷapanthako,11
buddhasāsane,11
vipassanaṃ,11
passena,11
paṭicchannaṃ,11
soḷasa,11
gocaraṃ,11
santakaṃ,11
purisassa,11
jānāma,11
hirottappaṃ,11
varaṃ,11
uyyojesi,11
jānāsī’’ti,11
bhaveyya,11
vuccanti,11
paṇḍita,11
nibbatto,11
vasanti,11
kassa,11
paṭicca,11
antevāsiko,11
udānaṃ,11
himavante,11
devadattaṃ,11
vuḍḍhi,11
ayye,11
bārāṇasirājā,11
dvīhi,11
jīvikaṃ,11
rājāpi,11
ekāya,11
oruyha,11
agantvā,11
dubbaco,11
vadhitvā,11
caritvā,11
pokkharaṇiṃ,11
aggi,11
sannipatitā,11
phalāni,11
samassāsetvā,11
sattamaṃ,11
itare,11
icchati,11
vāre,11
cā’’ti,11
bhattaṃ,11
sīlavā,11
kalahaṃ,11
karontā,11
sālaṃ,11
himavantappadese,11
kuṭumbaṃ,11
ekavāraṃ,11
kathitaṃ,11
viññutaṃ,11
koṭṭetvā,11
dussīlā,11
brahmalokaparāyaṇo,11
nibbattetvā,11
udiccabrāhmaṇakule,11
devaṃ,11
anāgate,11
supino,11
imassāpi,11
anāgatasmiñhi,11
sāvatthiṃ,10
bhikkhusaṅghassa,10
punapi,10
gatā’’ti,10
pakāsetvā,10
apica,10
uṭṭhāyāsanā,10
dasa,10
etena,10
ārocetvā,10
gacchantā,10
corehi,10
paṭipajji,10
imehi,10
gahitaṃ,10
chaḍḍāpetvā,10
piḷandhitvā,10
nāmetaṃ,10
bahu,10
nāhosi,10
nipajjitvā,10
gacchāmā’’ti,10
kenaci,10
bhojetvā,10
parisaṃ,10
tiṭṭhati,10
sabbesaṃ,10
parisā,10
matthakaṃ,10
pāyāsi,10
niddaṃ,10
kāmaṃ,10
atthāya,10
tasmiñca,10
gaṇhāti,10
nadītīraṃ,10
patiṭṭhāpesi,10
hohī’’ti,10
aniccā,10
saha,10
padakkhiṇaṃ,10
balaṃ,10
pārupitvā,10
guṇe,10
dārūni,10
samuṭṭhāpeti,10
tayi,10
sakkhissasi,10
vaṇṇaṃ,10
dinno,10
nikkhami,10
paccavekkhitvā,10
vasanto,10
brahmavihāre,10
kathetuṃ,10
alabhanto,10
vijjhitvā,10
alabhamānā,10
anto,10
parikkhipitvā,10
avatvā,10
ukkaṇṭhitabhikkhu,10
ahosinti,10
vase,10
maraṇabhayatajjito,10
aggahetvā,10
assa,10
pāpakaṃ,10
uppāṭetvā,10
byaggho,10
ñātake,10
ghātetvā,10
corānaṃ,10
yaṃnūnāhaṃ,10
dinna’’nti,10
āsayaṃ,10
asuko,10
jānātī’’ti,10
sayameva,10
katipāhaccayena,10
pādesu,10
yebhuyyena,10
tāsu,10
kilesavasena,10
sabbattha,10
lobhaṃ,10
are,10
kumāraṃ,10
sattame,10
bārāṇasiseṭṭhi,10
paṭicchādetvā,10
aparabhāge,10
tāpasassa,10
surā,10
kimatthaṃ,10
ācariyena,10
pacchābāhaṃ,10
corarañño,10
bhesajjaṃ,10
yā,10
allīyi,10
bhayena,10
alaṃ,10
manussapathaṃ,10
anācāraṃ,10
bhikkhusaṅghe,10
idānevesa,10
kathehīti,10
avamaṅgalaṃ,10
asiṃ,10
rājadhītaraṃ,10
ekasmiñhi,9
vivaritvā,9
upāsakā,9
saṃ,9
passati,9
kantāre,9
sakaṭasatāni,9
etehi,9
nikkhanto,9
atikkamitvā,9
parivuto,9
manāpaṃ,9
yakkhā,9
sannipātetvā,9
sampatte,9
ārakkhaṃ,9
niṭṭhāpetvā,9
dassento,9
vuttā,9
veditabbaṃ,9
paññāya,9
dvīsu,9
ayañhi,9
pañcasatā,9
ādīnavaṃ,9
samaṇadhammaṃ,9
ossaṭṭhavīriyo,9
nisinnā,9
niyāmena,9
pahāraṃ,9
panesa,9
parihīno,9
aya’’nti,9
satiṃ,9
karissāmā’’ti,9
sālāya,9
velāya,9
paññattāsane,9
vihāre,9
tāvadeva,9
anumodanaṃ,9
uyyojetvā,9
buddhānaṃ,9
uyyānapālo,9
sabbāni,9
rāsiṃ,9
karomā’’ti,9
yāci,9
kātu’’nti,9
bhuñjati,9
sambahulā,9
kathehi,9
pāyetvā,9
pādamūle,9
santi,9
aṭṭhārasa,9
kataraṃ,9
vuttepi,9
karosi,9
putto’’ti,9
ayampi,9
khipi,9
patte,9
patiṭṭhito,9
kāme,9
tiṇṇaṃ,9
bhāvetvā,9
rakkhati,9
migānaṃ,9
migā,9
kulaṃ,9
athassā,9
bhattakārako,9
nipanno,9
dammi,9
katipāhaṃ,9
vuttanayeneva,9
itthīnaṃ,9
āgate,9
tajjetvā,9
vissāsaṃ,9
kampamāno,9
yāvajīvaṃ,9
araññāyatane,9
patto’’ti,9
paṭissuṇitvā,9
vane,9
chahi,9
tasmiñhi,9
nadītīre,9
jātisatāni,9
desento,9
gāmadvāre,9
suṭṭhu,9
apassanto,9
khādiṃsu,9
yuddhaṃ,9
