Word,Frequency
mānuse,2
dūre,2
santike,2
cetopariyañāṇāya,2
parasattānaṃ,2
parapuggalānaṃ,2
ceto,2
paricca,2
jāneyya,2
pubbenivāsānussatiñāṇāya,2
ekampi,2
jātiṃ,2
dvepi,2
tissopi,2
catassopi,2
pañcapi,2
dasapi,2
vīsampi,2
tiṃsampi,2
cattālīsampi,2
paññāsampi,2
jātisatampi,2
jātisahassampi,2
jātisatasahassampi,2
saṃvaṭṭakappe,2
vivaṭṭakappe,2
saṃvaṭṭavivaṭṭakappe,2
amutrāsiṃ,2
udapādiṃ,2
tatrāpāsiṃ,2
idhūpapanno’ti,2
sākāraṃ,2
sauddesaṃ,2
sakamhā,2
tamhāpi,2
sakaṃyeva,2
amuṃ,2
agacchiṃ,2
tatrāpi,2
aṭṭhāsiṃ,2
abhāsiṃ,2
cutūpapātañāṇāya,2
kāyaduccaritena,2
vacīduccaritena,2
manoduccaritena,2
upavādakā,2
micchādiṭṭhikā,2
micchādiṭṭhikammasamādānā,2
apāyaṃ,2
duggatiṃ,2
vinipātaṃ,2
nirayaṃ,2
upapannā,2
kāyasucaritena,2
vacīsucaritena,2
manosucaritena,2
anupavādakā,2
sammādiṭṭhikā,2
sammādiṭṭhikammasamādānā,2
sugatiṃ,2
saggaṃ,2
upapannā’ti,2
passeyya,2
gehaṃ,2
vīthiṃ,2
sañcarante,2
āsavānaṃ,2
khayañāṇāya,2
dukkhanirodhagāminī,2
āsavāti,2
āsavanirodhagāminī,2
jānato,2
passato,2
kāmāsavāpi,2
bhavāsavāpi,2
avijjāsavāpi,2
vimuttasmiṃ,2
ñāṇaṃ,2
khīṇā,2
jāti,2
vusitaṃ,2
kataṃ,2
karaṇīyaṃ,2
nāparaṃ,2
itthattāyā’ti,2
abhikkantaṃ,2
saraṇaṃ,2
accayo,2
accagamā,2
yathābālaṃ,2
yathāmūḷhaṃ,2
yathāakusalaṃ,2
āyatiṃ,2
yathādhammaṃ,2
bhikkhū,2
rājāmaccakathā,1
sutaṃ,1
rājagahe,1
pannarase,1
komudiyā,1
cātumāsiniyā,1
puṇṇāya,1
puṇṇamāya,1
rattiyā,1
rājāmaccaparivuto,1
uparipāsādavaragato,1
ramaṇīyā,1
abhirūpā,1
dassanīyā,1
pāsādikā,1
lakkhaññā,1
khvajja,1
payirupāseyyāma,1
aññataro,1
pakuddho,1
sañjayo,1
bellaṭṭhiputto,1
velaṭṭhaputto,1
nāthaputto,1
nātaputto,1
komārabhaccajīvakakathā,1
tuṇhībhūto,1
tuṇhī’’ti,1
amhākaṃ,1
gotamaṃ,1
kalyāṇo,1
kittisaddo,1
abbhuggato,1
bhagavā’ti,1
pasīdeyyā’ti,1
kappāpehī’’ti,1
devā’’ti,1
paṭissuṇitvā,1
pañcamattāni,1
hatthinikāsatāni,1
kappāpetvā,1
paṭivedesi,1
kappitāni,1
pañcasu,1
hatthinikāsatesu,1
paccekā,1
itthiyo,1
āropetvā,1
abhiruhitvā,1
ukkāsu,1
dhāriyamānāsu,1
rājagahamhā,1
niyyāsi,1
mahaccarājānubhāvena,1
ambavanaṃ,1
pāyāsi,1
ambavanassa,1
ahudeva,1
chambhitattaṃ,1
lomahaṃso,1
bhīto,1
saṃviggo,1
lomahaṭṭhajāto,1
vañcesi,1
palambhesi,1
desi,1
tāva,1
mahato,1
aḍḍhateḷasānaṃ,1
bhikkhusatānaṃ,1
khipitasaddo,1
ukkāsitasaddo,1
nigghoso’’ti,1
vañcemi,1
palambhāmi,1
demi,1
maṇḍalamāḷe,1
dīpā,1
padīpā,1
jhāyantī’’ti,1
sāmaññaphalapucchā,1
yāvatikā,1
nāgassa,1
bhūmi,1
nāgena,1
gantvā,1
nāgā,1
paccorohitvā,1
pattikova,1
padikova,1
maṇḍalamāḷassa,1
dvāraṃ,1
kahaṃ,1
bhagavā’’ti,1
majjhimaṃ,1
thambhaṃ,1
